complaint_number,request_date,complaint_date,complaint_channel,complainer_kind,complainer_name,complaint_topic,complaint_against,original_request_topic,status,decision,termination_date,days_to_treat
 299/21,14/04/2021,07/06/2021,online form,citizen,,failure to respond,משטרת ישראל,אכיפה בתחום פסולת הבניה,termination of treatment,unjustified,09/06/2021,2
 301/21,06/06/2021,08/06/2021,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,failure to respond סמוכין 273664 ,termination of treatment,unjustified,09/06/2021,1
 305/21,24/03/2021,13/06/2021,online form,company,,failure to respond,משרד הבריאות,רשיון יבואן 7315,termination of treatment,justified,14/12/2021,184
 306/21,07/12/2020,13/06/2021,online form,non-profit organization,מוסרי,failure to respond,משרד החינוך,שימועים ובדיקות לגבי מנהל,termination of treatment,justified,30/08/2021,78
 315/21,22/05/2019,17/06/2021,online form,other,,failure to respond,משרד הרווחה והשירותים החברתיים,הכרעת דין בנושא עגורנים שהועברה למשרד העבודה לטיפול,termination of treatment,unjustified,11/05/2023,693
 319/21,22/04/2021,23/06/2021,online form,citizen,,failure to respond,משרד הבריאות,נתוני תמותה בישראל,termination of treatment,justified,27/04/2022,308
 320/21,03/02/2021,23/06/2021,online form,citizen,,lack of reasoning,משרד הבריאות,פרוטוקול טיפול תרופתי בחולי קורונה,termination of treatment,unjustified,09/08/2021,47
 328/21,23/02/2020,04/07/2021,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,דישון KCL אורגני לשנה בקרקעות ישראל,termination of treatment,justified partially,21/07/2021,17
 329/21,02/06/2021,04/07/2021,online form,citizen,,failure to respond,הנהלת בתי המשפט,אי המצאת אסמכתאות ללא סיבה justifiedת בחוק,termination of treatment,unjustified,30/08/2021,57
 332/21,21/12/2020,05/07/2021,online form,company,,failure to respond,המשרד להגנת הסביבה,בקשת מידע על מפעל כנפית,termination of treatment,justified,16/03/2022,254
 335/21,30/12/2020,08/07/2021,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה, חשיפת יומנו של נציב הכבאות,termination of treatment,justified,10/03/2022,245
 337/21,08/03/2020,11/07/2021,online form,citizen,,failure to respond,"צהל""",failure to respond לפי הוראות החוק,termination of treatment,justified,16/03/2022,248
 339/21,11/07/2021,11/07/2021,online form,citizen,,failure to respond,משרד הבריאות,"בית החולים הצרפתי, נצרת",termination of treatment,unjustified,21/02/2022,225
 341/21,27/04/2021,12/07/2021,online form,citizen,,failure to respond,משרד האוצר,"אישורי מנכל משרד האוצר לוועד מקומי שערי תקווה""",termination of treatment,unjustified,14/02/2022,217
 342/21,27/04/2021,12/07/2021,online form,citizen,,failure to respond,משרד הפנים,"אישורי מנכל משרד הפנים והממונה ביו""ש""",termination of treatment,justified,30/08/2021,49
 343/21,23/02/2021,12/07/2021,online form,citizen,,failure to respond,משרד הבריאות,מספר המונשמים בכל בתי החולים בשנים הotherונות,termination of treatment,justified,16/03/2022,247
 345/21,11/07/2021,13/07/2021,online form,citizen,,failure to respond,רשות המים והביוב,failure to respond סמוכין 279542 11.07.21 ,termination of treatment,unjustified,21/07/2021,8
 353/21,06/04/2021,19/07/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,יומני פגישות התייעצות לדוח RIA בקשה 260862,termination of treatment,justified,30/05/2022,315
 355/21,24/09/2020,20/07/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,מניעויות דיינים,termination of treatment,unjustified,09/03/2022,232
 357/21,25/03/2021,20/07/2021,email,citizen,,lack of reasoning,משרד המשפטים,קבלת העתק צווי איסור פרסום,termination of treatment,unjustified,11/08/2021,22
 363/21,20/04/2021,21/07/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,פגישות נציגי משרד התחבורה לדוח הria בקשה 264938,termination of treatment,justified,26/05/2022,309
 364/21,04/04/2021,21/07/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,רישום דגם עגורן בפנקס עגורנים בקשה 260898,termination of treatment,justified,26/05/2022,309
 367/21,04/04/2021,23/07/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,יומני פגישות עובדי מינהל הבטיחות לדוח הria,termination of treatment,justified,30/08/2021,38
 375/21,27/01/2021,27/07/2021,email,citizen,,failure to respond,משטרת ישראל,רישום משטרתי ליוצאי אתיופיה,termination of treatment,justified,30/08/2021,34
 382/21,14/07/2021,06/08/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,מי הוא גורם מקצוע למתן תשובה במנהל הבטיחות,termination of treatment,unjustified,09/08/2021,3
 387/21,15/02/2021,09/08/2021,online form,citizen,,failure to respond,משרד הבריאות,פניה מס' 643068 ופניה מספר 644187,termination of treatment,justified,16/03/2022,219
 395/21,12/08/2021,16/08/2021,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב,termination of treatment,unjustified,17/08/2021,1
 397/21,01/01/2020,16/08/2021,online form,non-profit organization,עתים,failure to respond,הנהלת בתי הדין הרבניים, 9 בקשות שונות שלא נענו מאז 2020,termination of treatment,justified,16/03/2022,212
 412/21,19/08/2021,30/08/2021,online form,citizen,,failure to respond,משרד הכלכלה,מידע על הוועדה המייעצת להעברת מעונות היום,termination of treatment,unjustified,03/11/2021,65
 417/21,21/06/2021,12/08/2021,email,citizen,,lack of reasoning,רשות מקרקעי ישראל,"אדמות יהודים ביוש""",termination of treatment,justified,03/11/2021,63
 420/21,15/07/2021,02/09/2021,online form,other,,failure to respond,רשות המסים בישראל,נתוני הכרה של גופים לפי סעיף 46 א,termination of treatment,unjustified,21/10/2021,49
 421/21,31/05/2021,02/09/2021,online form,citizen,,failure to respond,משטרת ישראל,קבלת מידע בעניין כתבי אישו כנגד מי שרכב על גבי אופניים רגילות (לא חשמליים) במצב של שכרות,termination of treatment,justified,03/11/2021,62
 457/21,22/07/2021,29/09/2021,online form,citizen,,failure to respond,רשות המסים בישראל,מתן מידע אודות חברת מעטים,termination of treatment,unjustified,10/03/2022,162
 466/21,01/09/2021,01/10/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,רשימת תיקים שטרם נסגרו,termination of treatment,justified,09/03/2022,159
 475/21,21/06/2021,08/10/2021,online form,citizen,,failure to respond,משרד החינוך,בקשת מידע על תשלומי הורים בחטיבת ביניים בר לב בכפר,termination of treatment,justified,09/02/2022,124
 478/21,11/10/2021,11/10/2021,online form,non-profit organization,לביא,failure to respond,משטרת ישראל,תנאי ביקור הנהוגים בהר הבית,termination of treatment,justified partially,07/11/2021,27
 495/21,11/08/2021,19/10/2021,online form,citizen,,failure to respond,משרד הבריאות,שאלות לגבי בידוד הווירוס והווריאנטים ,termination of treatment,unjustified,27/10/2021,8
 504/21,16/08/2021,24/10/2021,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,משרד המשפטים,מספר כתבי אישום שהגישה פרקליטות המדינה בשנים 2021-2015 בגין הצתה לפי סעיף 448 (א) לחוק העונשין.,termination of treatment,justified,16/03/2022,143
 505/21,24/08/2021,24/10/2021,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,הרשות הארצית לכבאות והצלה,מספר מקרי שריפה שנחקרו בשנים 2015-2021 בחשד להצתה,termination of treatment,justified,24/03/2022,151
 506/21,23/05/2021,24/10/2021,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,הרשות הארצית לכבאות והצלה,פניות למוקד הכבאות שנעשו בעכו ברמלה ובלוד בתאריכים9/5/21 ועד 17/5/21 .,termination of treatment,justified,10/03/2022,137
 507/21,17/09/2021,24/10/2021,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,הרשות הארצית לכבאות והצלה,התקציב שהקצתה הרשות לנושא של שיט וסירות בשנים 2007 עד 2021,termination of treatment,justified,10/03/2022,137
 568/21,11/07/2021,01/11/2021,online form,citizen,,failure to respond,משרד החינוך,"תיק אישי המלא במשרד החינוך – כלל המסמכים, מכל תקופה, המצויים במשרד החינוך",termination of treatment,justified,06/03/2022,125
 569/21,02/08/2021,01/11/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,"הוצאות משפט""""",termination of treatment,justified,16/03/2022,135
 574/21,18/07/2021,06/11/2021,online form,citizen,,failure to respond,משרד הבריאות,11 שאלות בנושא הקורונה,termination of treatment,justified,28/03/2022,142
 581/21,01/09/2021,18/11/2021,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,מינויים כמנהל עבודה באתרים,termination of treatment,unjustified,24/11/2021,6
 200/22,25/01/2021,09/05/2022,email,non-profit organization,"מען - ארגון עובדים, סניף ירושלים",lack of reasoning,רשות המסים בישראל,בקשה לקבלת המקור החוקי מכוחו מנקים מס הכנסה מעובדים תושבי הרשות הפלסטינית,termination of treatment,justified,01/08/2022,84
 233/22,22/12/2021,30/05/2022,email,citizen,,failure to respond,המשרד להגנת הסביבה,מידע על אתר פסולת פיראטי,termination of treatment,justified,12/07/2022,43
 298/22,31/03/2022,12/07/2022,email,citizen,,lack of reasoning,רשות המסים בישראל,עסקת הפקעת מקרקעין - מתחם פיכמן חולון,termination of treatment,unjustified,11/08/2022,24
 307/22,20/06/2022,21/07/2022,email,citizen,,failure to respond,משרד החינוך,אופן החלת חוק חינוך חובה וחינם,termination of treatment,justified,14/09/2022,55
 372/22,02/06/2022,31/08/2022,email,citizen,,failure to respond,רשות המסים בישראל,אירועי שומר החומות - פירוט המידע בדבר פיצויים ששולמו או שהוחלט כי ישולמו בגין נזקי רכוש,termination of treatment,justified,04/05/2023,242
 377/22,30/05/2022,06/09/2022,email,citizen,,lack of reasoning,משרד החוץ,פרוטוקול ישיבה מ02/2022,termination of treatment,unjustified,04/05/2023,240
 48/23,06/01/2023,09/02/2023,email,non-profit organization,מגן ביטחון,failure to respond,משרד האוצר,פגישות נציגי משרד האוצר עם נציגי משרד הביטחון בנושא הפנסיה הצוברת של משרתי הקבע,termination of treatment,unjustified,08/06/2023,119
 62/23,24/08/2022,18/02/2023,email,citizen,,failure to respond,משרד הבריאות,בקשה לקבלת תקנה,termination of treatment,justified,20/04/2023,60
 99/23,12/01/2023,28/02/2023,email,citizen,,failure to respond,משרד הבינוי והשיכון,הוראת שעה- מיצוי כושר השתכרות,termination of treatment,justified,09/03/2023,4
 150/23,09/03/2023,27/04/2023,email,non-profit organization,אלוט,failure to respond,משרד החינוך,הרחקות של תלמידים עם אוטיזם ממסגרות החינוך,termination of treatment,justified,07/06/2023,41
 159/23,17/03/2023,04/05/2023,email,citizen,,failure to respond,הרשות לאכיפה במקרקעין - משרד האוצר,קבלת מידע אודות עסק חוות השלושה,termination of treatment,justified,09/05/2023,5
 199/23,10/02/2023,24/05/2023,email,citizen,,failure to respond,משרד המשפטים,"יפוכ יועמ""ש""",termination of treatment,justified,07/06/2023,14
 201/23,21/12/2022,23/05/2023,email,citizen,,failure to respond,משרד הבריאות,השמדות קנאביס רפואי,termination of treatment,justified,04/09/2023,103
 202/23,15/01/2023,23/05/2023,email,citizen,,failure to respond,משרד הבריאות,רישיונות קונסטרוקטיביים + יבוא ויצוא,termination of treatment,justified,04/09/2023,103
 203/23,06/02/2023,24/05/2023,email,citizen,,failure to respond,משרד הבריאות,נתוני משאף קנאביס רפואי,termination of treatment,justified,04/09/2023,103
 237/23,12/01/2023,20/06/2023,email,citizen,,failure to respond,משרד הבינוי והשיכון,הגדרת מיצוי כושר השתכרות,termination of treatment,justified,28/06/2023,8
 240/23,28/08/2022,19/06/2023,email,citizen,,failure to respond,המשרד להגנת הסביבה,השלכות מקווי מתח עיליים,termination of treatment,justified,01/08/2023,40
 263/23,22/10/2022,06/07/2023,email,citizen,,failure to respond,משרד העבודה,מידע על התנהלות הוועדה,termination of treatment,unjustified,31/08/2023,56
 405/23,02/08/2023,11/09/2023,email,citizen,,failure to respond,מינהל התכנון,"קבלת חווד בתת""ל 108""",termination of treatment,unjustified,04/04/2024,206
 406/23,02/08/2023,11/09/2023,email,citizen,,failure to respond,מינהל התכנון,"מינוי דר אורית ניר""",termination of treatment,unjustified,12/09/2023,1
 496/23,22/11/2023,24/12/2023,email,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,קבלת מסמכים,termination of treatment,justified,14/02/2024,52
 14/24,02/11/2023,07/01/2024,email,citizen,,failure to respond,משרד החינוך,מסמכים,termination of treatment,unjustified,10/01/2024,0
 64/24,20/11/2023,14/02/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,הפעלת תחבורה ציבורית בשעת חירום,termination of treatment,justified,15/05/2024,84
 108/24,15/02/2024,03/04/2024,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,תוכנית שנתית של פקידי יערות,termination of treatment,justified,17/04/2024,13
 142/24,13/09/2023,02/05/2024,email,non-profit organization,עיתים,failure to respond,המשרד לשירותי דת,מינוי נשים לתפקידים בכירים במועצות דתיות,termination of treatment,justified,29/05/2024,27
 143/24,13/03/2024,01/05/2024,email,citizen,,failure to respond,משרד החינוך,היקף סל שירותים,termination of treatment,justified,22/05/2024,20
 195/24,07/12/2023,30/05/2024,email,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,נתונים בנושא המלחמה,termination of treatment,justified,05/06/2024,6
 218/24,26/03/2024,22/06/2024,online form,citizen,,failure to respond,משרד החינוך,תמריצים לעובדי ההוראה ים המלח,termination of treatment,justified,26/06/2024,3
 282/24,18/03/2024,31/07/2024,email,citizen,,failure to respond,משרד הבריאות,פרוטוקול ועדת התקשרויות,termination of treatment,justified,17/09/2024,48
 287/24,12/06/2023,01/08/2024,email,citizen,,failure to respond,משרד הבריאות,פרוטוקולים ועדה למניעת הטעיית הציבור,termination of treatment,justified,17/09/2024,41
 288/24,19/06/2024,06/08/2024,online form,non-profit organization,מוסרי,failure to respond,"צהל""",גב נועם דן,termination of treatment,justified,23/09/2024,47
 343/24,21/08/2023,29/09/2024,email,citizen,,failure to respond,"צהל""",מידע אודות מרכיבי שכר,termination of treatment,justified,14/11/2024,46
 200/21,10/02/2021,27/04/2021,online form,citizen,,failure to respond,משטרת ישראל,רשימת כל התלונות שהגיש המתלונן למשטרה נגד גרושתו.,termination of treatment,unjustified,27/01/2022,276
 204/21,21/02/2021,27/04/2021,online form,citizen,,failure to respond,משרד המשפטים,failure to respond על בקשת חופש מידע,termination of treatment,unjustified,04/05/2021,7
 288/21,01/04/2021,03/06/2021,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד הבריאות,שיווק תמרוקים וניסויים בבעלי חיים,termination of treatment,unjustified,22/06/2021,19
 304/21,04/04/2021,10/06/2021,online form,citizen,,failure to respond,משרד האוצר,דרגת שכר בשירות המדינה,termination of treatment,justified,16/11/2021,159
 318/21,23/11/2020,22/06/2021,online form,non-profit organization,גישה,failure to respond,משרד ראש הממשלה,החלטת ועדת השרים לביטחון לאומי ב/44 מיום 20.6.10,termination of treatment,justified,14/12/2021,175
 323/21,11/04/2021,27/06/2021,online form,other,,failure to respond,משרד הרווחה והשירותים החברתיים,יישום תקנה 3(ב) לתקנות הבטיחות בעבודה,termination of treatment,justified,10/03/2022,256
 325/21,02/03/2021,28/06/2021,online form,non-profit organization,"עתים - יעוץ ומידע במעגל החיים היהודי (ער)""",failure to respond,הנהלת בתי הדין הרבניים,הליכי בירור יהדות,termination of treatment,justified,10/03/2022,255
 348/21,22/02/2021,15/07/2021,online form,citizen,,lack of reasoning,משרד הפנים,דחיית בקשה לקבלת מידע,termination of treatment,justified,10/08/2021,26
 374/21,18/03/2021,26/07/2021,online form,non-profit organization,שקוף,failure to respond,משרד הבריאות,הוצאות קמפיין מגן 2,termination of treatment,justified,23/02/2022,212
 381/21,16/02/2021,04/08/2021,online form,non-profit organization,מניפה מנוף לחיים,failure to respond,"צהל""",נתונים בנוגע לחיילים אוכ' ייחודיות ונתוני נשר,termination of treatment,justified,14/02/2022,194
 383/21,21/06/2021,07/08/2021,online form,citizen,,lack of reasoning,משרד החינוך,פרטי תתומי  הורים,termination of treatment,unjustified,09/08/2021,2
 405/21,28/04/2021,24/08/2021,online form,citizen,,failure to respond,משרד האוצר,מידע לגבי מערכת מלשינון,termination of treatment,justified,30/08/2021,7
 428/21,20/08/2021,13/09/2021,online form,citizen,,failure to respond,משרד החינוך,מידע על הכשרת מורים למקצוע,termination of treatment,justified,14/02/2022,154
 430/21,08/08/2021,14/09/2021,online form,citizen,,failure to respond,משרד ראש הממשלה,"הוצאות אבטחה מלון דן כרמל, לביקור נתניהו",termination of treatment,justified,16/03/2022,183
 432/21,24/06/2021,22/09/2021,online form,citizen,,failure to respond,משרד החינוך,מידע הקיים במשרד החינוך אודות אירוע אלימות שהתרחש כלפי המתלוננת בבית ספר אלונים בקרית אתא,termination of treatment,unjustified,24/03/2022,183
 438/21,16/03/2021,25/09/2021,online form,citizen,,failure to respond,משרד המשפטים,הוראות הפרקליטות בדבר המשך חקירה,termination of treatment,justified,10/03/2022,166
 446/21,29/06/2021,26/09/2021,online form,non-profit organization,פרטיות ישראל,failure to respond,משרד הבריאות,מאגרי מידע במשרד הבריאות,termination of treatment,justified,28/03/2022,183
 473/21,28/01/2021,06/10/2021,online form,citizen,,failure to respond,משרד האוצר,נתונים בדבר תשלום ניכויים לארגוני עובדים,termination of treatment,justified,11/04/2022,188
 479/21,04/02/2021,13/10/2021,online form,non-profit organization,החברה להגנת הטבע,failure to respond,המשרד להגנת הסביבה,אירועי הזרמת חירום של שפכים לים,termination of treatment,justified,16/03/2022,154
 484/21,02/09/2021,15/10/2021,online form,non-profit organization,פורום משפחות עולים,lack of reasoning,משרד הבינוי והשיכון,דיור ציבורי מכר דירות,termination of treatment,unjustified,10/03/2022,147
 492/21,02/09/2021,18/10/2021,online form,non-profit organization,אם תרצו,failure to respond,משרד ראש הממשלה,פריסת הפרסום בין כלי התקשורת,termination of treatment,justified,17/02/2022,122
 564/21,16/06/2021,27/10/2021,online form,citizen,,failure to respond,האפוטרופוס הכללי והכונס הרשמי,קרן תובענות יצוגיות,termination of treatment,justified,03/11/2021,7
 566/21,01/08/2021,31/10/2021,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,"התכתובת של משרד התחבורה מול מר דינר וחברת אמבולנס סמי, בנוגע לקבלת אישור להסבת הרכב, לרכב רגיל שאינו אמבולנס",termination of treatment,justified,30/05/2022,211
 567/21,26/08/2021,31/10/2021,online form,citizen,,failure to respond,רשות המסים בישראל,שאלות בנושא רשימון ייצוא מרוכז,termination of treatment,unjustified,07/11/2021,7
 571/21,09/08/2021,02/11/2021,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,"נוהל הטיפול"" של רישום ילד שנולד בחוץ לארץ לcitizenים ישראליים""",termination of treatment,unjustified,24/11/2021,23
 572/21,11/04/2021,02/11/2021,online form,other,,failure to respond,"צהל""",מידע לגבי טיפול צה''ל בחיילים שהורשעו בעבירות סמים,termination of treatment,justified,28/03/2022,146
 575/21,26/05/2021,08/11/2021,online form,citizen,,failure to respond,המשרד להגנת הסביבה,"רשימת דוחות במסגרת יישום אזור אוויר נקי בחיפה""",termination of treatment,justified,07/02/2022,91
 577/21,24/08/2021,09/11/2021,online form,citizen,,failure to respond,משרד החינוך,"עמידה בנהלי חוזרי מנכל - לימודי יסוד""",termination of treatment,justified,07/02/2022,90
 580/21,12/08/2021,16/11/2021,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב,termination of treatment,justified,09/02/2022,85
 585/21,30/09/2021,22/11/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,ישבת  דיינים בבתי דין,termination of treatment,justified,24/03/2022,122
 205/22,12/01/2022,11/05/2022,email,citizen,,failure to respond,משרד המשפטים,מידע לעניין נזקי גוף משטרת ישראל,termination of treatment,unjustified,23/05/2022,11
 250/22,03/02/2022,07/06/2022,email,citizen,,failure to respond,משרד הבריאות,"דוח הוועדה בנושא גזענות, אפליה והדרה במערכת הבריאות",termination of treatment,justified,01/08/2022,53
 251/22,26/04/2022,01/06/2022,email,citizen,,lack of reasoning,משטרת ישראל,תלונות שהוגשו על ידי עיריית נס ציונה על אי שליחת ילדים למסגרת חינוכית,termination of treatment,unjustified,13/06/2022,4
 266/22,07/04/2022,15/06/2022,email,citizen,,failure to respond,משרד הבריאות,רישיון תמרוק ל- listerine,termination of treatment,justified,01/08/2022,46
 272/22,10/04/2022,20/06/2022,email,company,,failure to respond,משרד העבודה,מפקחי עבודה פעילים ותאריכי הסמכה,termination of treatment,justified,01/08/2022,42
 315/22,27/06/2022,28/07/2022,email,citizen,,failure to respond,משרד הבריאות,אי קבלת מענה לפנייה 645414,termination of treatment,unjustified,10/08/2022,13
 328/22,04/04/2022,06/08/2022,email,citizen,,lack of reasoning,משרד הבינוי והשיכון,קבלת מסמכים לפרויקט מחיר למשתכן שבירו רמת גן,termination of treatment,justified,24/01/2024,535
 362/22,20/01/2022,25/08/2022,email,non-profit organization,המכון הישראלי לדמוקרטיה,failure to respond,משרד ראש הממשלה,נתונים על פעילות מערך הגיור,termination of treatment,justified,14/09/2022,20
 383/22,21/02/2022,11/09/2022,email,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,פרוטוקולים - תחנה מרכזית תל אביב,termination of treatment,justified,12/07/2023,304
 467/22,12/08/2022,04/12/2022,email,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,נתוני זיהום אוויר חברת קארדאטא בקשת מידע מס' 336640,termination of treatment,justified,09/03/2023,94
 17/23,20/09/2022,10/01/2023,email,citizen,,failure to respond,משרד ההתיישבות,תמיכה בגרעיני משימה,termination of treatment,justified,19/02/2023,39
