"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 355/21","24/09/2020","20/07/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","מניעויות דיינים","סיום טיפול","בלתי מוצדק","09/03/2022","232",
" 357/21","25/03/2021","20/07/2021","דואר אלקטרוני","אזרח","","חוסר בהנמקה","משרד המשפטים","קבלת העתק צווי איסור פרסום","סיום טיפול","בלתי מוצדק","11/08/2021","22",
" 363/21","20/04/2021","21/07/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","פגישות נציגי משרד התחבורה לדוח הria בקשה 264938","סיום טיפול","מוצדק","26/05/2022","309",
" 364/21","04/04/2021","21/07/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","רישום דגם עגורן בפנקס עגורנים בקשה 260898","סיום טיפול","מוצדק","26/05/2022","309",
" 367/21","04/04/2021","23/07/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","יומני פגישות עובדי מינהל הבטיחות לדוח הria","סיום טיפול","מוצדק","30/08/2021","38",
" 375/21","27/01/2021","27/07/2021","דואר אלקטרוני","אזרח","","אי מתן מענה","משטרת ישראל","רישום משטרתי ליוצאי אתיופיה","סיום טיפול","מוצדק","30/08/2021","34",
" 382/21","14/07/2021","06/08/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","מי הוא גורם מקצוע למתן תשובה במנהל הבטיחות","סיום טיפול","בלתי מוצדק","09/08/2021","3",
" 387/21","15/02/2021","09/08/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פניה מס' 643068 ופניה מספר 644187","סיום טיפול","מוצדק","16/03/2022","219",
" 395/21","12/08/2021","16/08/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב","סיום טיפול","בלתי מוצדק","17/08/2021","1",
" 397/21","01/01/2020","16/08/2021","טופס מקוון","עמותה","עתים","אי מתן מענה","הנהלת בתי הדין הרבניים"," 9 בקשות שונות שלא נענו מאז 2020","סיום טיפול","מוצדק","16/03/2022","212",
" 412/21","19/08/2021","30/08/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הכלכלה","מידע על הוועדה המייעצת להעברת מעונות היום","סיום טיפול","בלתי מוצדק","03/11/2021","65",
" 417/21","21/06/2021","12/08/2021","דואר אלקטרוני","אזרח","","חוסר בהנמקה","רשות מקרקעי ישראל","אדמות יהודים ביו"ש","סיום טיפול","מוצדק","03/11/2021","63",
" 420/21","15/07/2021","02/09/2021","טופס מקוון","אחר","","אי מתן מענה","רשות המסים בישראל","נתוני הכרה של גופים לפי סעיף 46 א","סיום טיפול","בלתי מוצדק","21/10/2021","49",
" 421/21","31/05/2021","02/09/2021","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","קבלת מידע בעניין כתבי אישו כנגד מי שרכב על גבי אופניים רגילות (לא חשמליים) במצב של שכרות","סיום טיפול","מוצדק","03/11/2021","62",
" 457/21","22/07/2021","29/09/2021","טופס מקוון","אזרח","","אי מתן מענה","רשות המסים בישראל","מתן מידע אודות חברת מעטים","סיום טיפול","בלתי מוצדק","10/03/2022","162",
" 466/21","01/09/2021","01/10/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","רשימת תיקים שטרם נסגרו","סיום טיפול","מוצדק","09/03/2022","159",
" 475/21","21/06/2021","08/10/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","בקשת מידע על תשלומי הורים בחטיבת ביניים בר לב בכפר","סיום טיפול","מוצדק","09/02/2022","124",
" 478/21","11/10/2021","11/10/2021","טופס מקוון","עמותה","לביא","אי מתן מענה","משטרת ישראל","תנאי ביקור הנהוגים בהר הבית","סיום טיפול","מוצדק חלקית","07/11/2021","27",
" 495/21","11/08/2021","19/10/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","שאלות לגבי בידוד הווירוס והווריאנטים ","סיום טיפול","בלתי מוצדק","27/10/2021","8",
" 504/21","16/08/2021","24/10/2021","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","משרד המשפטים","מספר כתבי אישום שהגישה פרקליטות המדינה בשנים 2021-2015 בגין הצתה לפי סעיף 448 (א) לחוק העונשין.","סיום טיפול","מוצדק","16/03/2022","143",
" 505/21","24/08/2021","24/10/2021","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","הרשות הארצית לכבאות והצלה","מספר מקרי שריפה שנחקרו בשנים 2015-2021 בחשד להצתה","סיום טיפול","מוצדק","24/03/2022","151",
" 506/21","23/05/2021","24/10/2021","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","הרשות הארצית לכבאות והצלה","פניות למוקד הכבאות שנעשו בעכו ברמלה ובלוד בתאריכים9/5/21 ועד 17/5/21 .","סיום טיפול","מוצדק","10/03/2022","137",
" 507/21","17/09/2021","24/10/2021","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","הרשות הארצית לכבאות והצלה","התקציב שהקצתה הרשות לנושא של שיט וסירות בשנים 2007 עד 2021","סיום טיפול","מוצדק","10/03/2022","137",
" 568/21","11/07/2021","01/11/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תיק אישי המלא במשרד החינוך – כלל המסמכים, מכל תקופה, המצויים במשרד החינוך","סיום טיפול","מוצדק","06/03/2022","125",
" 569/21","02/08/2021","01/11/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים",""הוצאות משפט"","סיום טיפול","מוצדק","16/03/2022","135",
" 574/21","18/07/2021","06/11/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","11 שאלות בנושא הקורונה","סיום טיפול","מוצדק","28/03/2022","142",
" 581/21","01/09/2021","18/11/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","מינויים כמנהל עבודה באתרים","סיום טיפול","בלתי מוצדק","24/11/2021","6",
" 200/22","25/01/2021","09/05/2022","דואר אלקטרוני","עמותה","מען - ארגון עובדים, סניף ירושלים","חוסר בהנמקה","רשות המסים בישראל","בקשה לקבלת המקור החוקי מכוחו מנקים מס הכנסה מעובדים תושבי הרשות הפלסטינית","סיום טיפול","מוצדק","01/08/2022","84",
" 233/22","22/12/2021","30/05/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","מידע על אתר פסולת פיראטי","סיום טיפול","מוצדק","12/07/2022","43",
" 298/22","31/03/2022","12/07/2022","דואר אלקטרוני","אזרח","","חוסר בהנמקה","רשות המסים בישראל","עסקת הפקעת מקרקעין - מתחם פיכמן חולון","סיום טיפול","בלתי מוצדק","11/08/2022","24",
" 307/22","20/06/2022","21/07/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד החינוך","אופן החלת חוק חינוך חובה וחינם","סיום טיפול","מוצדק","14/09/2022","55",
" 372/22","02/06/2022","31/08/2022","דואר אלקטרוני","אזרח","","אי מתן מענה","רשות המסים בישראל","אירועי שומר החומות - פירוט המידע בדבר פיצויים ששולמו או שהוחלט כי ישולמו בגין נזקי רכוש","סיום טיפול","מוצדק","04/05/2023","242",
" 377/22","30/05/2022","06/09/2022","דואר אלקטרוני","אזרח","","חוסר בהנמקה","משרד החוץ","פרוטוקול ישיבה מ02/2022","סיום טיפול","בלתי מוצדק","04/05/2023","240",
" 48/23","06/01/2023","09/02/2023","דואר אלקטרוני","עמותה","מגן ביטחון","אי מתן מענה","משרד האוצר","פגישות נציגי משרד האוצר עם נציגי משרד הביטחון בנושא הפנסיה הצוברת של משרתי הקבע","סיום טיפול","בלתי מוצדק","08/06/2023","119",
" 62/23","24/08/2022","18/02/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","בקשה לקבלת תקנה","סיום טיפול","מוצדק","20/04/2023","60",
" 99/23","12/01/2023","28/02/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","הוראת שעה- מיצוי כושר השתכרות","סיום טיפול","מוצדק","09/03/2023","4",
" 150/23","09/03/2023","27/04/2023","דואר אלקטרוני","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","הרחקות של תלמידים עם אוטיזם ממסגרות החינוך","סיום טיפול","מוצדק","07/06/2023","41",
" 159/23","17/03/2023","04/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","הרשות לאכיפה במקרקעין - משרד האוצר","קבלת מידע אודות עסק חוות השלושה","סיום טיפול","מוצדק","09/05/2023","5",
" 199/23","10/02/2023","24/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד המשפטים","יפו"כ יועמ"ש","סיום טיפול","מוצדק","07/06/2023","14",
" 201/23","21/12/2022","23/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","השמדות קנאביס רפואי","סיום טיפול","מוצדק","04/09/2023","103",
" 202/23","15/01/2023","23/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","רישיונות קונסטרוקטיביים + יבוא ויצוא","סיום טיפול","מוצדק","04/09/2023","103",
" 203/23","06/02/2023","24/05/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","נתוני משאף קנאביס רפואי","סיום טיפול","מוצדק","04/09/2023","103",
" 237/23","12/01/2023","20/06/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","הגדרת מיצוי כושר השתכרות","סיום טיפול","מוצדק","28/06/2023","8",
" 240/23","28/08/2022","19/06/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","השלכות מקווי מתח עיליים","סיום טיפול","מוצדק","01/08/2023","40",
" 263/23","22/10/2022","06/07/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד העבודה","מידע על התנהלות הוועדה","סיום טיפול","בלתי מוצדק","31/08/2023","56",
" 405/23","02/08/2023","11/09/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","מינהל התכנון","קבלת חוו"ד בתת"ל 108","סיום טיפול","בלתי מוצדק","04/04/2024","206",
" 406/23","02/08/2023","11/09/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","מינהל התכנון","מינוי ד"ר אורית ניר","סיום טיפול","בלתי מוצדק","12/09/2023","1",
" 496/23","22/11/2023","24/12/2023","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","קבלת מסמכים","סיום טיפול","מוצדק","14/02/2024","52",
" 14/24","02/11/2023","07/01/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד החינוך","מסמכים","סיום טיפול","בלתי מוצדק","10/01/2024","0",
" 64/24","20/11/2023","14/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","הפעלת תחבורה ציבורית בשעת חירום","סיום טיפול","מוצדק","15/05/2024","84",
" 108/24","15/02/2024","03/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","תוכנית שנתית של פקידי יערות","סיום טיפול","מוצדק","17/04/2024","13",
" 142/24","13/09/2023","02/05/2024","דואר אלקטרוני","עמותה","עיתים","אי מתן מענה","המשרד לשירותי דת","מינוי נשים לתפקידים בכירים במועצות דתיות","סיום טיפול","מוצדק","29/05/2024","27",
" 143/24","13/03/2024","01/05/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד החינוך","היקף סל שירותים","סיום טיפול","מוצדק","22/05/2024","20",
" 195/24","07/12/2023","30/05/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","נתונים בנושא המלחמה","סיום טיפול","מוצדק","05/06/2024","6",
" 218/24","26/03/2024","22/06/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תמריצים לעובדי ההוראה ים המלח","סיום טיפול","מוצדק","26/06/2024","3",
" 282/24","18/03/2024","31/07/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","פרוטוקול ועדת התקשרויות","סיום טיפול","מוצדק","17/09/2024","48",
" 287/24","12/06/2023","01/08/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","משרד הבריאות","פרוטוקולים ועדה למניעת הטעיית הציבור","סיום טיפול","מוצדק","17/09/2024","41",
" 288/24","19/06/2024","06/08/2024","טופס מקוון","עמותה","מוסרי","אי מתן מענה","צה"ל","גב נועם דן","סיום טיפול","מוצדק","23/09/2024","47",
" 343/24","21/08/2023","29/09/2024","דואר אלקטרוני","אזרח","","אי מתן מענה","צה"ל","מידע אודות מרכיבי שכר","סיום טיפול","מוצדק","14/11/2024","46",
" 190/21","18/04/2021","26/04/2021","טופס מקוון","אזרח","","חוסר בהנמקה","מועצה אזורית אלונה","בדיקה בדיקה111","סיום טיפול","מוצדק","03/08/2022","464",
" 191/21","18/04/2021","26/04/2021","דואר אלקטרוני","אזרח","","חוסר בהנמקה","בית חולים אסף הרופא","בדיקה בדיקה","סיום טיפול","מוצדק חלקית","27/05/2024","1127",
" 200/21","10/02/2021","27/04/2021","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","רשימת כל התלונות שהגיש המתלונן למשטרה נגד גרושתו.","סיום טיפול","בלתי מוצדק","27/01/2022","276",
" 204/21","21/02/2021","27/04/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה על בקשת חופש מידע","סיום טיפול","בלתי מוצדק","04/05/2021","7",
" 288/21","01/04/2021","03/06/2021","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד הבריאות","שיווק תמרוקים וניסויים בבעלי חיים","סיום טיפול","בלתי מוצדק","22/06/2021","19",
" 304/21","04/04/2021","10/06/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","דרגת שכר בשירות המדינה","סיום טיפול","מוצדק","16/11/2021","159",
" 318/21","23/11/2020","22/06/2021","טופס מקוון","עמותה","גישה","אי מתן מענה","משרד ראש הממשלה","החלטת ועדת השרים לביטחון לאומי ב/44 מיום 20.6.10","סיום טיפול","מוצדק","14/12/2021","175",
" 323/21","11/04/2021","27/06/2021","טופס מקוון","אחר","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","יישום תקנה 3(ב) לתקנות הבטיחות בעבודה","סיום טיפול","מוצדק","10/03/2022","256",
" 325/21","02/03/2021","28/06/2021","טופס מקוון","עמותה","עתים - יעוץ ומידע במעגל החיים היהודי (ע"ר)","אי מתן מענה","הנהלת בתי הדין הרבניים","הליכי בירור יהדות","סיום טיפול","מוצדק","10/03/2022","255",
" 348/21","22/02/2021","15/07/2021","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הפנים","דחיית בקשה לקבלת מידע","סיום טיפול","מוצדק","10/08/2021","26",
" 374/21","18/03/2021","26/07/2021","טופס מקוון","עמותה","שקוף","אי מתן מענה","משרד הבריאות","הוצאות קמפיין מגן 2","סיום טיפול","מוצדק","23/02/2022","212",
" 381/21","16/02/2021","04/08/2021","טופס מקוון","עמותה","מניפה מנוף לחיים","אי מתן מענה","צה"ל","נתונים בנוגע לחיילים אוכ' ייחודיות ונתוני נשר","סיום טיפול","מוצדק","14/02/2022","194",
" 383/21","21/06/2021","07/08/2021","טופס מקוון","אזרח","","חוסר בהנמקה","משרד החינוך","פרטי תתומי  הורים","סיום טיפול","בלתי מוצדק","09/08/2021","2",
" 405/21","28/04/2021","24/08/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד האוצר","מידע לגבי מערכת מלשינון","סיום טיפול","מוצדק","30/08/2021","7",
" 423/21","24/08/2021","05/09/2021","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אגרות","הרשות הארצית לכבאות והצלה","מקרי הצתה שנחקרו בשנים 2015-2021 בחשד להצתה","סיום טיפול","בלתי מוצדק","10/03/2022","187",
" 428/21","20/08/2021","13/09/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","מידע על הכשרת מורים למקצוע","סיום טיפול","מוצדק","14/02/2022","154",
" 430/21","08/08/2021","14/09/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","הוצאות אבטחה מלון דן כרמל, לביקור נתניהו","סיום טיפול","מוצדק","16/03/2022","183",
" 432/21","24/06/2021","22/09/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","מידע הקיים במשרד החינוך אודות אירוע אלימות שהתרחש כלפי המתלוננת בבית ספר אלונים בקרית אתא","סיום טיפול","בלתי מוצדק","24/03/2022","183",
